VARIABLES= "X", "Y", "Z","P"
5.00157 4.23694 3.07432 0.0243203
4.7743 4.29384 3.02602 0.0304014
4.62361 4.27891 3.20808 0.0317377
4.64583 4.44615 3.37406 0.0312296
5.02375 4.57813 3.0178 0.0232818
5.0947 4.88906 3.0027 0.0192619
5.15062 4.27812 3.45944 0.0194154
5.22299 4.50695 3.39636 0.0181134
5.22777 4.5749 3.19031 0.0188292
5.08261 4.73405 3.15107 0.0209112
5.07818 4.85458 2.34315 0.0202825
4.92778 4.57814 2.54475 0.0266233
5.23031 4.76935 2.15446 0.0167652
5.152 4.63152 1.95056 0.0189609
4.05007 4.67479 2.93396 0.0519292
3.78626 3.95647 2.92294 0.0828624
4.20545 4.23757 3.15964 0.053793
3.85827 4.13885 2.78923 0.0748503
3.77118 4.52893 2.65616 0.0705491
3.66283 4.34276 3.39635 0.0772648
5.87096 6.38463 4.138 0.00211551
3.43271 4.44443 3.10185 0.0907118
4.23993 4.49493 2.40712 0.0448538
3.7503 4.4862 2.07475 0.0720912
3.74715 4.65705 2.37639 0.0700026
3.92262 4.61481 2.19352 0.0604757
4.14555 5.09253 2.67622 0.0367676
3.79137 4.75721 2.9094 0.0604834
3.73107 4.9726 2.78138 0.0565562
4.88842 5.56593 3.21846 0.0154357
5.22632 5.52997 3.2014 0.0131812
5.30598 4.85717 3.65273 0.0136271
5.03584 4.73314 2.86943 0.0230268
5.57907 5.03835 3.26375 0.0112066
5.48194 5.17547 3.33817 0.0116749
5.31484 5.22887 3.22746 0.0136037
5.01652 5.05067 3.04608 0.0186548
3.45574 4.29298 2.80081 0.0929837
4.19529 3.99257 2.6333 0.0608531
4.37713 4.34874 2.63223 0.0416516
4.33937 3.82474 2.66532 0.0516188
3.54657 4.03266 2.91621 0.0864794
3.85289 3.73647 3.24261 0.0747175
4.43997 4.14064 3.13649 0.0435359
5.72323 4.63553 3.94409 0.00790666
3.46513 3.61544 2.63061 0.0966856
3.44241 3.39552 2.68217 0.09948
3.69898 2.93132 2.50296 0.0674233
3.16469 3.16253 2.80717 0.115683
3.20677 3.26101 2.6793 0.118826
3.40071 3.33756 3.1054 0.102243
3.64561 3.17103 3.05297 0.0754112
3.29512 3.44062 2.99136 0.11313
4.87637 4.1208 2.56102 0.0305545
5.19682 3.92193 2.31023 0.0212275
3.99928 4.12561 4.93006 0.0103119
4.61734 4.44488 2.16627 0.0353278
4.61516 4.31619 2.34727 0.0379277
4.04318 4.48888 2.78029 0.0561657
4.85587 4.70245 2.75894 0.0283862
4.8992 4.73912 2.36434 0.0256804
4.70422 4.54503 2.84541 0.0339684
4.63467 4.13991 2.23018 0.0354539
3.52734 4.99536 3.22506 0.0675295
6.08669 5.86092 3.18189 0.00352992
4.26194 5.2076 3.21319 0.0333244
4.04294 2.32465 2.01656 0.0210647
4.02105 4.61976 3.17742 0.0536338
4.38331 4.81757 3.158 0.0402186
4.30549 4.94913 2.80414 0.0390569
5.51199 5.43248 1.84596 0.00829089
5.33608 5.00689 2.12074 0.0144848
5.41345 5.29833 2.38964 0.0119648
5.73452 5.21248 2.2801 0.00812571
5.45636 5.59852 2.30424 0.010956
3.63996 4.47844 1.84284 0.071668
3.0715 3.58966 1.04595 0.105831
3.82305 4.16272 1.73409 0.0652766
4.26836 4.55352 1.94473 0.0421724
4.42985 4.59062 2.11603 0.0371516
4.87485 4.59301 1.92114 0.0256588
4.24215 4.41647 1.70458 0.0407765
4.1226 4.26417 1.63342 0.047451
4.21423 4.08003 2.42072 0.0537959
3.9983 4.77637 2.08058 0.0515881
4.19719 4.17359 1.78969 0.0548164
4.12056 3.93653 2.20816 0.0606992
4.78055 4.05473 1.66795 0.0263063
4.34124 4.36841 1.56564 0.0358212
6.5165 6.37927 0.0598946 1.26551e-010
4.30536 4.5463 1.4205 0.0321322
4.34638 4.72774 1.50938 0.0308016
4.725 5.7642 3.41655 0.0155269
5.06849 5.56913 3.07715 0.0148468
4.15309 4.30013 4.59794 0.0265195
5.13755 5.73331 3.09274 0.0128942
5.04341 5.91772 3.15371 0.0112506
5.31669 5.8224 3.41396 0.00976475
5.63523 5.54528 1.70119 0.00635662
5.29413 5.08351 1.33583 0.0113081
5.07693 5.62075 1.47897 0.011304
4.96367 5.76621 1.38539 0.0108009
5.66634 5.54604 1.44171 0.00617994
5.02601 5.03138 1.72178 0.0166266
5.29482 5.54929 1.98435 0.0115736
