VARIABLES= "X", "Y", "Z","T"
1.47007 1.29527 0.43757 9.51654
1.56507 1.37413 0.512986 7.54779
1.61942 1.34239 0.515661 6.68361
1.61479 1.27539 0.546444 6.11666
1.5056 1.32858 0.41097 8.64404
1.22402 1.29534 0.763458 26.7069
1.93831 1.98281 0.555471 0.233149
1.53861 1.35031 0.431214 7.8997
1.62636 1.25771 0.472916 5.59406
1.57167 1.26294 0.400547 6.50883
1.49093 1.60994 0.382023 10.484
1.41354 1.52303 0.460186 12.1608
1.36682 1.55268 0.449805 14.1398
1.3562 1.5851 0.403961 14.2758
1.60526 1.69583 0.985719 1.28598
1.47536 1.56881 0.475994 10.2919
1.49911 1.56388 0.394278 9.99498
1.37303 1.46411 0.444501 12.9253
1.01602 1.28708 0.360498 8.41562
1.41903 1.47925 0.355673 11.4448
1.37912 1.55759 0.341117 13.4086
1.38433 1.44323 0.400965 12.6814
1.61228 1.51724 0.596633 6.72329
1.63147 1.43873 0.497525 6.14839
1.54052 1.6597 0.646932 8.2166
1.57275 1.60433 0.660555 7.36881
1.6206 1.58942 0.663012 6.34108
1.61769 1.62939 0.607447 6.32023
1.58802 1.57517 0.497746 7.23044
1.25921 1.60822 0.018011 10.2246
1.5381 1.44963 0.49771 8.61249
1.57552 1.42327 0.520733 7.86434
1.54218 1.47095 0.462317 8.37343
1.63914 1.34123 0.397226 5.70835
1.66719 1.35268 0.522222 5.9815
1.66879 1.39989 0.496338 5.92599
1.4616 1.61835 0.676 10.5414
1.4127 1.65148 0.621476 12.6632
1.35208 1.6597 0.692006 15.5421
1.64572 1.4902 0.590562 5.94014
1.69533 1.64677 0.62129 4.63852
1.73957 1.63311 0.589651 3.81115
1.73998 1.53275 0.563996 4.08908
1.61765 1.62011 0.551207 6.32652
1.64967 1.65592 0.601886 5.53086
1.96792 1.90709 0.853926 0.253772
1.45074 1.93503 0.983997 2.01422
1.44266 1.51869 0.53695 11.3191
1.35126 1.55656 0.576056 14.0147
1.27859 1.47998 0.467734 15.2503
1.28055 1.49686 0.590881 15.7889
1.2993 1.44549 0.478918 15.1314
1.29551 1.45859 0.598091 15.4886
1.48315 1.70193 0.526741 10.0173
