VARIABLES= "X", "Y", "Z","P"
0 -1 0 0.138301
0 -0.974928 -0.222521 0.0433687
0 -0.900969 -0.433884 0.0191844
0 -0.781831 -0.62349 0.00616495
0 -0.62349 -0.781831 0.00965354
0 -0.433884 -0.900969 0.0131149
0 -0.222521 -0.974928 0.0250861
0 0 -1 0.0425391
0 0.222521 -0.974928 0.0771186
0 0.433884 -0.900969 0.0713703
0 0.62349 -0.781831 0.0601355
0 0.781831 -0.62349 0.0784534
0 0.900969 -0.433884 0.0699199
0 0.974928 -0.222521 0.0625074
0 1 0 0.0753218
0 0.974928 0.222521 0.0852456
0 0.900969 0.433884 0.0719363
0 0.781831 0.62349 0.087747
0 0.62349 0.781831 0.070878
0 0.433884 0.900969 0.0775722
0 0.222521 0.974928 0.128796
0 0 1 0.162103
0 -0.222521 0.974928 1
0 -0.433884 0.900969 1
0 -0.62349 0.781831 1
0 -0.781831 0.62349 1
0 -0.900969 0.433884 1
0 -0.974928 0.222521 1
0.431373 0.713683 0.551882 1
0.410527 0.552121 0.725693 1
0.577398 0.577266 0.577387 1
0.713827 0.551695 0.431374 1
0.552308 0.725527 0.410568 1
0.5518 0.431252 0.71382 1
0.725617 0.410402 0.552313 1
0.302657 0.672477 0.675406 1
0.67269 0.675201 0.302641 1
0.675269 0.302497 0.672686 1
0.781831 0.62349 0 1
0.818804 0.529022 0.222941 1
0.900969 0.433884 0 1
0.433884 0.900969 0 1
0.529183 0.818726 0.22283 1
0.62349 0.781831 0 1
0.222914 0.818629 0.529297 1
0.222792 0.528965 0.81888 1
0.900969 0 0.433884 1
0.818778 0.222586 0.529209 1
0.781831 0 0.62349 1
0.62349 0 0.781831 1
0.529138 0.222658 0.818802 1
0.433884 0 0.900969 1
0.222521 0 0.974928 1
0.241183 0.241114 0.94005 1
0.974928 0.222521 0 1
0.940031 0.241053 0.241319 1
1 0 0 1
0.241322 0.939971 0.241285 1
0.222521 0.974928 0 1
0.974928 0 0.222521 1
0.379749 0.383092 0.842041 1
0.383277 0.841925 0.379818 1
0.842017 0.379598 0.383297 1
0.700315 0.700205 0.138824 1
0.138874 0.700112 0.700398 1
0.700249 0.138692 0.700297 1
0.387172 0.173116 0.90561 1
0.173181 0.387048 0.90565 1
0.173401 0.905483 0.387338 1
0.387274 0.905524 0.173325 1
0.905562 0.173125 0.38728 1
0.905596 0.387072 0.173413 1
0.669465 0.321849 -0.6695 1
0.535752 0.407095 -0.73976 1
0.585939 0.556326 -0.589217 1
0.739565 0.406807 -0.536238 1
0.432124 0.549983 -0.714694 1
0.411434 0.72377 -0.553966 1
0.302675 0.67526 -0.672616 1
0.529183 0.818738 -0.222789 1
0.433884 0 -0.900969 1
0.5293 0.222712 -0.818682 1
0.62349 0 -0.781831 1
0.818836 0.529085 -0.222665 1
0.222985 0.529103 -0.818736 1
0.781831 0 -0.62349 1
0.818875 0.222755 -0.528989 1
0.900969 0 -0.433884 1
0.222858 0.818764 -0.529115 1
0.940088 0.241097 -0.241055 1
0.241383 0.241187 -0.939981 1
0.222521 0 -0.974928 1
0.241364 0.940018 -0.241058 1
0.974928 0 -0.222521 1
0.550068 0.711917 -0.436578 1
0.714977 0.54692 -0.435531 1
0.6729 0.672795 -0.307495 1
0.842065 0.379706 -0.383085 1
0.383348 0.379696 -0.841947 1
0.379809 0.841988 -0.383149 1
0.700343 0.700219 -0.138611 1
0.138816 0.700281 -0.70024 1
0.700419 0.138735 -0.700119 1
0.38736 0.173194 -0.905512 1
0.173359 0.387169 -0.905563 1
0.90563 0.387116 -0.173136 1
0.173351 0.905595 -0.3871 1
0.905644 0.173205 -0.387051 1
0.387322 0.905533 -0.17318 1
0.321748 -0.669555 0.669458 1
0.407008 -0.739816 0.535739 1
0.556236 -0.589287 0.585954 1
0.406733 -0.536318 0.739548 1
0.54993 -0.714744 0.432109 1
0.723748 -0.553992 0.411439 1
0.675243 -0.672619 0.302705 1
0.529028 -0.222863 0.818817 1
0.222654 -0.529062 0.818852 1
0.222625 -0.818726 0.529272 1
0.818713 -0.222795 0.529223 1
0.900969 -0.433884 0 1
0.818748 -0.529115 0.222917 1
0.781831 -0.62349 0 1
0.62349 -0.781831 0 1
0.529098 -0.818755 0.222929 1
0.433884 -0.900969 0 1
0.222521 -0.974928 0 1
0.241166 -0.940028 0.241219 1
0.939973 -0.241232 0.241367 1
0.974928 -0.222521 0 1
0.240982 -0.241275 0.940061 1
0.711855 -0.43667 0.550074 1
0.546845 -0.435615 0.714983 1
0.672748 -0.307608 0.672895 1
0.841951 -0.3832 0.379843 1
0.379631 -0.842 0.383298 1
0.3796 -0.383212 0.842053 1
0.70021 -0.7003 0.138871 1
0.700188 -0.138756 0.700345 1
0.13862 -0.700195 0.700365 1
0.173128 -0.905573 0.387252 1
0.387182 -0.905563 0.173335 1
0.905535 -0.173196 0.38731 1
0.90557 -0.387184 0.173298 1
0.387032 -0.173338 0.905625 1
0.173064 -0.387191 0.90561 1
0.585949 -0.556301 -0.589231 0.0285626
0.669461 -0.321833 -0.669512 0.079828
0.7395 -0.406805 -0.536331 0.0619183
0.535743 -0.407144 -0.739738 0.0479854
0.432103 -0.550043 -0.71466 0.0330631
0.411443 -0.723856 -0.553848 0.0289675
0.302703 -0.675335 -0.672527 0.0238934
0.222935 -0.818819 -0.528996 0.0219537
0.52926 -0.222835 -0.818678 1
0.222938 -0.529223 -0.818672 0.0200717
0.818822 -0.529089 -0.222699 1
0.529232 -0.818742 -0.222661 1
0.818878 -0.2227 -0.529002 1
0.24139 -0.241226 -0.939969 1
0.241385 -0.939998 -0.241118 1
0.940066 -0.241162 -0.241074 1
0.714232 -0.547244 -0.436345 0.0463467
0.549957 -0.712461 -0.435828 0.0423228
0.672891 -0.672787 -0.307533 0.0609302
0.379876 -0.841977 -0.383107 0.0557889
0.84207 -0.379679 -0.383095 0.153553
0.383335 -0.379781 -0.841917 0.0421882
0.138889 -0.700321 -0.700186 0.0118917
0.700402 -0.138697 -0.700143 1
0.700324 -0.700223 -0.138687 1
0.905613 -0.387149 -0.17314 1
0.905653 -0.173171 -0.387041 1
0.387323 -0.90554 -0.173142 1
0.173384 -0.905603 -0.387069 0.0527172
0.173486 -0.387265 -0.905499 0.0210807
0.387366 -0.173339 -0.905484 1
-0.556351 0.589191 0.585941 0.0104007
-0.321875 0.669556 0.669396 0.0292955
-0.407196 0.739742 0.535701 0.0115468
-0.406824 0.536267 0.739535 0.0272126
-0.222864 0.818718 0.529181 0.0289924
-0.550095 0.714622 0.4321 0.0113434
-0.546942 0.435503 0.714976 0.0160526
-0.22278 0.529064 0.81882 0.0186057
-0.138716 0.700177 0.700364 0.056487
-0.379834 0.841904 0.383307 0.0136742
-0.723861 0.553857 0.411422 0.00881769
-0.711954 0.436539 0.55005 0.00803093
-0.379725 0.383094 0.842052 0.0251234
-0.173316 0.905513 0.387304 0.0375223
-0.675392 0.672473 0.302698 0.00850302
-0.529299 0.818626 0.222922 0.0123845
-0.672833 0.307467 0.672875 0.013751
-0.529113 0.222735 0.818799 0.0127483
-0.173278 0.387069 0.905623 0.0360992
-0.241311 0.939946 0.241394 0.0305911
-0.818865 0.528966 0.222841 0.00708922
-0.84204 0.383063 0.379781 0.0121096
-0.387338 0.905478 0.173421 0.0122765
-0.818796 0.22262 0.529164 0.00917475
-0.387218 0.173135 0.905586 0.012245
-0.241256 0.241048 0.940049 0.0341433
-0.700381 0.700127 0.138887 0.0116006
-0.433884 0.900969 0 0.00601385
-0.70024 0.138587 0.700327 0.0135755
-0.433884 0 0.900969 0.0240205
-0.222521 0.974928 0 0.0204582
-0.62349 0.781831 0 0.00173525
-0.781831 0.62349 0 0.0105159
-0.905655 0.387034 0.173189 0.00709489
-0.905603 0.173051 0.387216 0.00556067
-0.781831 0 0.62349 0.00585458
-0.62349 0 0.781831 0.0162234
-0.222521 0 0.974928 0.0511707
-0.900969 0.433884 0 0.0052975
-0.940031 0.241105 0.241268 0.0086869
-0.900969 0 0.433884 0.00421907
-0.52918 0.818748 -0.222763 0.00945496
-0.387271 0.905561 -0.173146 0.00746627
-0.528907 -0.222923 0.818879 0.0275693
-0.387054 -0.173258 0.905631 0.0578785
-0.241328 0.94 -0.241166 0.0208483
-0.700301 0.700256 -0.138638 0.00681743
-0.818821 0.529132 -0.222602 0.00489721
-0.974928 0.222521 0 0.00543313
-0.974928 0 0.222521 0.00281565
-0.818632 -0.222895 0.529304 0.00837865
-0.700111 -0.138845 0.700404 0.0176923
-0.241117 -0.241137 0.940062 1
-0.905629 0.387146 -0.173073 0.0051923
-1 0 0 0.00665938
-0.905474 -0.173396 0.387363 0.00979594
-0.383285 0.841988 -0.379674 0.00910594
-0.669669 0.669334 -0.321769 0.00721178
-0.672455 -0.302682 0.675417 0.0278204
-0.383032 -0.379814 0.842038 0.0847318
-0.173345 0.905576 -0.387148 0.0313367
-0.842068 0.383178 -0.379604 0.00545195
-0.940061 0.241158 -0.241099 0.00419745
-0.939985 -0.241249 0.241302 0.00637696
-0.536498 0.739397 -0.406771 0.00427104
-0.841913 -0.383296 0.379828 0.00771619
-0.553832 -0.411441 0.72387 0.0475965
-0.173132 -0.387187 0.905598 1
-0.739903 0.535612 -0.407017 0.00756318
-0.974928 0 -0.222521 0.00631846
-0.974928 -0.222521 0 0.0102731
-0.436522 0.714147 -0.547213 0.0110688
-0.589388 0.585847 -0.556241 0.0106865
-0.222917 0.818769 -0.529085 0.0225143
-0.714625 -0.43208 0.550108 0.0165291
-0.436508 -0.550073 0.711955 0.0661614
-0.222546 -0.529228 0.818774 1
-0.714828 0.431987 -0.549917 0.00933005
-0.905617 0.173229 -0.387104 0.00484199
-0.939998 -0.241307 -0.241192 0.00560158
-0.905512 -0.387289 0.173364 0.00616736
-0.739723 -0.535717 0.407207 0.0126678
-0.589174 -0.585927 0.556385 0.0200894
-0.818827 0.22276 -0.52906 0.00566417
-0.905587 -0.173365 -0.387114 0.00459627
-0.900969 0 -0.433884 0.00551402
-0.905551 -0.387294 -0.173151 0.00494566
-0.900969 -0.433884 0 0.00456471
-0.818675 -0.529265 0.222824 0.00916294
-0.307726 0.672834 -0.672755 0.0194165
-0.436006 0.549886 -0.712407 0.00819761
-0.307459 -0.672899 0.672812 0.0968693
-0.435513 -0.714961 0.546955 0.0430658
-0.138893 0.700295 -0.700211 0.0399719
-0.554039 0.411373 -0.72375 0.0114784
-0.672693 0.302584 -0.675224 0.00505179
-0.841963 -0.379899 -0.383114 0.00309619
-0.669482 -0.669438 0.321942 0.00905258
-0.13859 -0.700296 0.70027 1
-0.536223 -0.739544 0.406865 0.0261768
-0.700314 0.138734 -0.700224 0.00393838
-0.781831 0 -0.62349 0.00323398
-0.818823 -0.222946 -0.528985 0.00523811
-0.81872 -0.529276 -0.222637 0.0054774
-0.781831 -0.62349 0 0.00941177
-0.222965 0.52916 -0.818704 0.0226436
-0.383345 0.379788 -0.841907 0.0161062
-0.700138 -0.700374 0.138868 0.0129012
-0.222706 -0.818813 0.529106 1
-0.383096 -0.842036 0.379758 0.0909128
-0.529196 0.222853 -0.818711 0.00765526
-0.725608 -0.410647 -0.552142 0.00743243
-0.713715 -0.551923 -0.431269 0.00461327
-0.528996 -0.818849 0.222827 0.0169189
-0.62349 0 -0.781831 0.00632655
-0.700304 -0.138991 -0.700183 0.0060725
-0.675324 -0.302773 -0.672507 0.00888758
-0.672574 -0.675377 -0.302506 0.00950211
-0.700184 -0.700367 -0.138668 0.00779087
-0.62349 -0.781831 0 0.00997226
-0.173496 0.387248 -0.905502 0.0344192
-0.387306 0.173327 -0.90551 0.0138323
-0.173152 -0.905609 0.387158 1
-0.387092 -0.905609 0.173297 0.056523
-0.433884 0 -0.900969 0.00572304
-0.551778 -0.431468 -0.713706 0.0084563
-0.57727 -0.577499 -0.577283 0.0025635
-0.552168 -0.725723 -0.410412 0.00502482
-0.241345 0.241239 -0.939977 0.0282481
-0.433884 -0.900969 0 0.0296315
-0.241125 -0.940049 0.241178 1
-0.529217 -0.223003 -0.818658 0.00554142
-0.529052 -0.818857 -0.222662 0.0110515
-0.222521 0 -0.974928 0.0147407
-0.222521 -0.974928 0 0.041894
-0.387236 -0.173467 -0.905515 0.00556537
-0.379703 -0.383344 -0.841949 0.00895078
