VARIABLES= "X", "Y", "Z","T"
1 1 0 300
1 1.11111 0 300
1 1.22222 0 300
1 1.33333 0 300
1 1.44444 0 300
1 1.55556 0 300
1 1.66667 0 300
1 1.77778 0 300
1 1.88889 0 300
1 2 0 300
1 2 0.111111 300
1 2 0.222222 300
1 2 0.333333 300
1 2 0.444444 300
1 2 0.555556 300
1 2 0.666667 300
1 2 0.777778 300
1 2 0.888889 300
1 2 1 300
1 1.88889 1 300
1 1.77778 1 300
1 1.66667 1 300
1 1.55556 1 300
1 1.44444 1 300
1 1.33333 1 300
1 1.22222 1 300
1 1.11111 1 300
1 1 1 300
1 1 0.888889 300
1 1 0.777778 300
1 1 0.666667 300
1 1 0.555556 300
1 1 0.444444 300
1 1 0.333333 300
1 1 0.222222 300
1 1 0.111111 300
1 1.93463 0.703499 300
1 1.89741 0.793661 300
1 1.85081 0.680684 41.9285
1 1.0994 0.0899265 300
1 1.89945 0.909696 300
1 1.91446 0.0855425 300
1 1.08554 0.914458 300
1 1.20223 0.0713969 300
1 1.288 0.0568911 300
1 1.29348 0.128271 45.7321
1 1.35946 0.278154 10.1856
1 1.38045 0.186956 19.8817
1 1.45319 0.256269 11.0576
1 1.40595 0.0880907 300
1 1.06037 0.28637 300
1 1.52076 0.326286 7.4466
1 1.5894 0.399553 6.97873
1 1.49646 0.413756 5.87979
1 1.79665 0.92993 300
1 1.71005 0.947833 300
1 1.70481 0.879022 49.3437
1 1.6231 0.744379 11.871
1 1.60784 0.834095 26.9533
1 1.51333 0.771164 14.458
1 1.60662 0.925916 300
1 1.4629 0.683847 7.10854
1 1.42345 0.751932 11.4031
1 1.92056 0.403386 300
1 1.93435 0.308034 1
1 1.8376 0.162133 57.3724
1 1.9283 0.165741 300
1 1.89307 0.2438 1
1 1.16176 0.83875 66.8413
1 1.07172 0.834233 300
1 1.10701 0.756067 300
1 1.08192 0.592634 300
1 1.06615 0.69117 1
1 1.94446 0.495148 300
1 1.80085 0.264138 29.3786
1 1.66736 0.138768 54.2177
1 1.59706 0.0786221 300
1 1.69222 0.0668004 300
1 1.13438 0.491568 46.6285
1 1.1781 0.57617 26.9243
1 1.19917 0.737414 29.207
1 1.32778 0.859487 50.0549
1 1.40563 0.918724 300
1 1.30848 0.933978 300
1 1.51289 0.111044 51.889
1 1.504 0.0553191 1
1 1.57676 0.160737 29.3904
